bluetooth,brand,clavier,lieu_fabrication,frequence,lecteur_empreinte,lecteur_carte_memoire,RAM,nb_coeurs,norme_wifi,poids,price,processeur,product_type,OS,taille_ecran,type_resolution,webcam,model_CG,marque_CG,tactile,longueur,hauteur,profondeur,resolution1,resolution2,SSD,HDD,eMMC
5.1,LENOVO,standard,Chine,3.0,Non,Oui,8,2.0,WIFI 6 (AX),1.6,529,INTEL CORE I3,LENOVO Ordinateur portable 15.6'' FullHD I3 8Go,Windows,15.6,Full HD,Oui,INTEL_UHD,INTEL,False,35.92,23.65,1.99,1920,1080,512,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,16,14.0,WIFI 6E,2.4,2339,INTEL CORE I7,PC Gamer MSI Vector GP66 12UGSO-619XFR,FreeDOS,15.6,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.8,2.34,26.7,2560,1440,1000,0,0
4.2,APPLE,rétroéclairé,France,3.5,Non,Non,16,2.0,WIFI 4 (N),1.4,889,INTEL CORE I7,"APPLE TouchBar 13'' 2017 i7 3,5Ghz 16Go 512 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.49,21.24,2560,1600,512,0,0
5,APPLE,standard,Chine,2.3,Non,Non,8,2.0,WIFI 5 (N/AC),1.8,1006,INTEL CORE I7,"Ordinateur APPLE APPLE MacBook 12"" M 1,2 GHz 512 Go",Mac,12.0,Full HD,Non,NULL,NULL,False,30.41,2.39,22.4,2304,1440,0,0,0
5,APPLE,standard,Chine,1.066,Non,Non,4,2.0,WIFI 6 (AX),1.8,649,INTEL CORE I7,"Ordinateur APPLE APPLE Pro 15"" 2011 i7 2.2Ghz 4GB 320GB Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,0,320,0
5,MICROSOFT,standard,Chine,1.7,Non,Non,16,4.0,WIFI 6 (AX),0.9,2189,INTEL CORE I7,PC Hybride MICROSOFT Surface Pro 9 I7/16/512 Graphite,Windows,13.0,Full HD,Oui,INTEL_IRIS,INTEL,False,20.8,28.7,0.93,2880,1920,512,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,64,16.0,WIFI 6E,3.3,5449,INTEL CORE I9,PC Gamer MSI CREATORPRO X17 A12UKS-080FR,Windows,17.3,UHD,Oui,NVIDIA_RTX,NVIDIA,False,39.7,2.3,33.0,3840,2160,2000,0,0
5,APPLE,standard,Chine,1.6,Non,Non,8,2.0,WIFI 6 (AX),1.8,608,INTEL CORE I5,"Ordinateur APPLE APPLE Air 13"" 2017 i5 1.8Ghz 8GB 128GB SSD Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,128,0,0
5,MICROSOFT,détachable,Chine,4.8,Non,Non,16,4.0,WIFI 6 (AX),0.89,1599,INTEL CORE I7,PC Hybride MICROSOFT Surface Pro 8 13' i7/16/512 Graphite,Windows,13.0,Full HD,Oui,INTEL_IRIS,INTEL,False,28.7,20.8,0.93,2880,1920,512,0,0
5,ASUS,standard,Chine,2.2,Non,Oui,4,8.0,WIFI 5 (N/AC),1.1,249,MEDIATEK,Chromebook ASUS CM3200FVA-HW0054,Chrome,12.0,HD,Oui,ORIGINE,ORIGINE,False,1.7,21.6,26.9,1366,912,0,0,64
4,APPLE,rétroéclairé,France,2.8,Non,Non,8,2.0,WIFI 4 (N),1.6,629,INTEL CORE I7,"APPLE Retina 13'' 2013 i7 2,8 Ghz 8 Go 1 To Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,31.4,1.9,21.9,2560,1600,1000,0,0
5,MACBOOK,rétroéclairé,Chine,0.0,Oui,Non,8,8.0,WIFI 6 (AX),1.2,1299,PUCE APPLE M2,Ordinateur Apple MACBOOK AIR M2 8 256 Gris Sideral,Mac,13.6,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.13,21.5,2560,1664,256,0,0
5,MICROSOFT,standard,Chine,1.7,Non,Non,8,4.0,WIFI 6 (AX),1.6,1529,INTEL CORE I7,Ordinateur portable MICROSOFT Surface Laptop 5 15'' I7/8/256 Platine,Windows,15.0,Full HD,Oui,INTEL_IRIS,INTEL,False,24.4,33.9,1.47,2496,1664,256,0,0
5.2,ASUS,rétroéclairé,Chine,3.3,Non,Non,32,8.0,WIFI 6 (AX),2.5,2199,AMD RYZEN 9,PC Gamer ASUS STRIX-G15-G513RS-HQ023W,Windows,15.6,QHD,Non,NVIDIA_GEFORCE,NVIDIA,False,2.7,25.9,25.4,2560,1440,1000,0,0
4,HP,standard,Chine,2.0,Non,Non,8,15.0,WIFI 4 (N),1.6,353,INTEL CORE I5,HP EliteBook 840 G2 - 8Go - SSD 180Go Reconditionné,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,0,180,0
5.2,MSI,rétroéclairé,Chine,1.3,Non,Oui,16,10.0,WIFI 6 (AX),1.7,975,INTEL CORE I5,PC Gamer MSI Modern 15 B12M-001FR,Windows,15.6,Full HD,Oui,INTEL_IRIS,INTEL,False,35.9,1.99,24.1,1920,1080,512,0,0
5,APPLE,standard,Chine,1.066,Non,Non,8,2.0,WIFI 6 (AX),1.8,669,INTEL CORE I7,"Ordinateur APPLE APPLE Pro 15"" 2011 i7 2Ghz 8GB 500GB Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,0,500,0
5,MACBOOK,rétroéclairé,Chine,2.4,Non,Oui,8,2.0,WIFI 5 (N/AC),1.6,499,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Pro Retina 13 i5 2,4 Ghz 128Go Reconditionné",No OS,13.3,Retina,Oui,NULL,NULL,False,31.4,1.9,21.9,2560,1600,128,0,0
5,APPLE,standard,Chine,1.6,Non,Non,4,2.0,WIFI 6 (AX),1.8,329,INTEL CORE I5,"Ordinateur APPLE APPLE Air 13"" 2015 i5 1.6Ghz 4GB 256GB SSD Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1440,900,256,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,16,14.0,WIFI 6 (AX),2.4,2499,INTEL CORE I7,PC Gamer MSI Vector GP66 12UH-205XFR,FreeDOS,15.6,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.8,2.34,26.7,2560,1440,512,0,0
5,APPLE,standard,Chine,1.6,Non,Non,4,2.0,WIFI 6 (AX),1.8,279,INTEL CORE I5,"Ordinateur APPLE APPLE Air 11"" 2014 i5 2.7Ghz 4GB 128GB SSD Reconditionné",Mac,11.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,128,0,0
5.2,RAZER,rétroéclairé,Chine,2.5,Non,Non,16,8.0,WIFI 6 (AX),1.6,2621,AMD RYZEN 9,PC Gamer RAZER BLADE 14 -QHD 165Hz-RTX3070 TI,Windows,14.0,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,32.0,1.68,22.0,2560,1440,1000,0,0
4.1,ASUS,rétroéclairé,Chine,2.8,Non,Oui,16,4.0,WIFI 5 (N/AC),1.4,699,INTEL CORE I7,Ordinateur portable ASUS S433EA-EB9999W,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,1.6,23.5,32.4,1920,1080,512,0,0
5,APPLE,rétroéclairé,France,2.4,Oui,Non,16,4.0,WIFI 5 (N/AC),1.4,1649,INTEL CORE I5,"APPLE TouchBar 13'' 2019 i5 2,4 Ghz 16 Go 1 To Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.49,21.24,2560,1600,1000,0,0
4.2,APPLE,rétroéclairé,France,2.0,Non,Non,8,2.0,WIFI 4 (N),1.4,799,INTEL CORE I5,APPLE Retina 13'' 2016 i5 2 Ghz 8 Go 512 Go Reconditionné,Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.49,21.24,2560,1600,512,0,0
4.2,MACBOOK,mécanique rétroéclairé,Chine,2.3,Non,Non,8,4.0,WIFI 5 (N/AC),1.8,929,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 15 gris sideral 512Go Touch Bar Reconditionné,Mac,15.4,Full HD,Non,AMD_RADEON,AMD,False,34.93,1.55,24.07,2880,1800,0,0,0
5,APPLE,standard,Chine,2.3,Non,Non,8,2.0,WIFI 4 (N),1.8,649,INTEL CORE I7,"Ordinateur APPLE APPLE MacBook Pro 15,4"" i7 2 GHz 500 Go Reconditionné",Mac,15.4,Full HD,Non,NULL,NULL,False,30.41,2.39,22.4,1680,1050,0,0,0
4.1,ASUS,standard,Chine,1.1,Non,Oui,4,4.0,WIFI 5 (N/AC),1.6,449,INTEL PENTIUM,Portable ASUS TP1400KA-BZ077WS + O365 Personnel,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,1.8,21.7,32.1,1366,768,0,0,128
4,HP,standard,Chine,2.0,Non,Non,8,8.0,WIFI 4 (N),2.2,334,INTEL CORE I5,HP ProBook 450 G2 - 8Go - HDD 500Go Reconditionné,Windows,15.6,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,0,500,0
5,MICROSOFT,rétroéclairé,Chine,2.0,Non,Non,16,8.0,WIFI 6 (AX),1.5,1569,AMD RYZEN 7,Ordinateur portable MICROSOFT Surface Laptop 4 15' R7/16/ 512 Noir,Windows,13.3,QHD,Oui,AMD_RADEON,AMD,True,24.4,33.9,1.45,2496,1664,512,0,0
5.2,LENOVO,rétroéclairé,Chine,2.1,Oui,Oui,16,6.0,WIFI 6 (AX),1.4,1199,AMD RYZEN 5,PC Hybride LENOVO YG6 13ALC7+ CO,Windows,13.3,WUXGA,Oui,AMD_RADEON,AMD,False,21.8,30.4,17.4,1920,1200,256,0,0
5,DELL,rétroéclairé,Chine,4.7,Oui,Oui,16,14.0,WIFI 5 (N/AC),2.0,1899,INTEL CORE I7,Ordinateur portable DELL Inspiron 16-7620 1To,Windows,16.0,3K,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.67,1.69,25.19,3072,1920,0,1000,0
5,APPLE,standard,Chine,1.6,Non,Non,4,2.0,WIFI 6 (AX),1.8,389,INTEL CORE I5,"Ordinateur APPLE APPLE Air 11"" 2014 i5 2.7Ghz 4GB 256GB SSD Reconditionné",Mac,11.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,256,0,0
5.1,MSI,rétroéclairé,Chine,3.0,Non,Oui,16,4.0,WIFI 6 (AX),1.8,1399,INTEL CORE I7,PC Gamer MSI Stealth 15M A11SDK-081FR,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.8,1.5,24.8,1920,1080,1000,0,0
5.2,MSI,rétroéclairé,Chine,2.3,Non,Oui,16,14.0,WIFI 6 (AX),2.2,2149,INTEL CORE I7,PC Gamer MSI Pulse GL66 12UGK-055FR,Windows,15.6,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.9,2.39,25.9,2560,1440,1000,0,0
5,ASUS,rétroéclairé,Chine,2.3,Non,Oui,1,8.0,WIFI 5 (N/AC),1.4,999,INTEL CORE I7,Ordinateur portable ASUS UX434FL-A6295T Reconditionné,Windows,14.0,Full HD,Non,NVIDIA_GEFORCE,NVIDIA,False,1.82,31.9,19.9,1920,1080,0,0,0
5,MACBOOK,rétroéclairé,Chine,0.0,Non,Non,8,8.0,WIFI 6 (AX),1.4,1499,PUCE APPLE M2,Ordinateur Apple MACBOOK PRO 13'' M2 8 256 Gris sideral,Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.56,21.24,2560,1600,256,0,0
5.2,ASUS,rétroéclairé,Chine,4.7,Non,Non,16,8.0,WIFI 6 (AX),2.2,2099,AMD RYZEN 7,PC Gamer ASUS A15-TUF507RR-HN077W,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,2.5,25.1,35.4,1920,1080,1000,0,0
5,APPLE,rétroéclairé,France,2.9,Oui,Non,32,6.0,WIFI 4 (N),1.8,1699,INTEL CORE I7,"APPLE TouchBar 15'' 2018 i9 2,9Ghz 32Go 512 Go Reconditionné",Mac,15.4,Retina,Oui,ORIGINE,ORIGINE,False,34.93,1.55,24.07,2880,1800,512,0,0
5,APPLE,standard,Chine,1.333,Non,Non,8,2.0,WIFI 6 (AX),1.8,499,INTEL CORE I7,"Ordinateur APPLE APPLE Pro (15"" 2012) i7 2.3Ghz 8GB 512GB SSD Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,512,0,0
