bluetooth,brand,clavier,lieu_fabrication,frequence,lecteur_empreinte,lecteur_carte_memoire,RAM,nb_coeurs,norme_wifi,poids,price,processeur,product_type,OS,taille_ecran,type_resolution,webcam,model_CG,marque_CG,tactile,longueur,hauteur,profondeur,resolution1,resolution2,SSD,HDD,eMMC
5.1,ACER,standard,Chine,3.0,Non,Non,1,2.0,WIFI 6 (AX),1.6,909,INTEL CORE I3,Ordinateur portable ACER Aspire 5 A515-56-32R1 W10Pro,Windows,15.6,Full HD,Non,NULL,NULL,False,23.85,36.34,1.79,1920,1080,0,0,0
4.2,HP,standard,Chine,2.0,Non,Non,8,8.0,WIFI 5 (N/AC),1.5,414,INTEL CORE I5,HP EliteBook 840 G4 - 8Go - HDD 500Go Reconditionné,Windows,14.0,HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1366,768,0,500,0
4,HP,standard,Chine,2.0,Non,Non,8,15.0,WIFI 5 (N/AC),1.9,496,INTEL CORE I5,HP EliteBook 850 G3 - 8Go - SSD 512Go Reconditionné,Windows,15.6,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1920,1080,512,0,0
5.2,HP,nc,Chine,3.8,Non,Oui,16,8.0,WIFI 6 (AX),1.8,1499,AMD RYZEN 7,PC Gamer HP VICTUS 16-e0010nf,Windows,16.0,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,30.41,2.39,22.4,1920,1080,512,0,0
5,MICROSOFT,standard,Chine,1.3,Non,Non,8,4.0,WIFI 6 (AX),0.9,1299,INTEL CORE I5,PC Hybride MICROSOFT Surface Pro 9 I5/8/256 Platine,Windows,13.0,Full HD,Oui,INTEL_IRIS,INTEL,False,20.8,28.7,0.93,2880,1920,256,0,0
5,ACER,standard,Chine,1.1,Non,Non,4,4.0,WIFI 6 (AX),2.5,499,INTEL CELERON,Ordinateur portable ACER A317-33-C40P Reconditionné,Windows,17.3,HD+,Oui,ORIGINE,ORIGINE,False,26.3,40.3,1.99,1600,900,256,0,0
5,MACBOOK,rétroéclairé,Chine,2.3,Oui,Non,8,4.0,NC,1.4,1174,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 13p Touch Bar i5 256Go Gris sideral Reconditionné,Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,1.49,21.24,2560,1600,256,0,0
5.2,ASUS,rétroéclairé,Chine,2.7,Non,Non,16,8.0,WIFI 6 (AX),0.99,1499,AMD RYZEN 7,Portable ASUS UM5302TA-LX065W Numpad,Windows,13.3,OLED,Oui,ORIGINE,ORIGINE,False,1.5,22.0,29.7,2880,1800,512,0,0
5.2,ASUS,rétroéclairé,Chine,3.3,Non,Non,32,8.0,WIFI 6 (AX),3.0,2399,AMD RYZEN 9,PC Gamer ASUS STRIX-G17-G713RS-LL022W,Windows,17.3,QHD,Non,NVIDIA_GEFORCE,NVIDIA,False,2.3,28.2,39.5,2560,1440,1000,0,0
4.2,APPLE,rétroéclairé,France,2.6,Non,Non,16,4.0,WIFI 4 (N),1.8,899,INTEL CORE I7,"APPLE TouchBar 15'' 2016 i7 2,6Ghz 16Go 256 Go Reconditionné",Mac,15.4,Retina,Oui,AMD_RADEON,AMD,False,34.93,1.55,24.07,2880,1800,256,0,0
4.2,APPLE,rétroéclairé,France,3.3,Non,Non,8,2.0,WIFI 4 (N),1.4,919,INTEL CORE I5,"APPLE TouchBar 13'' 2017 i5 3,3Ghz 8 Go 256 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.49,21.24,2560,1600,256,0,0
4,APPLE,rétroéclairé,France,2.4,Non,Non,16,4.0,WIFI 4 (N),2.0,919,INTEL CORE I7,"APPLE Retina 15'' 2013 i7 2,4 Ghz 16 Go 512 Go Reconditionné",Mac,15.4,Retina,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.89,1.8,24.71,2880,1800,512,0,0
5.2,MSI,rétroéclairé,Chine,2.5,Non,Oui,64,14.0,WIFI 6E,2.9,6235,INTEL CORE I9,PC Gamer MSI Stealth GS77 12UH-002FR,Windows,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,39.7,2.59,28.4,1920,1080,2000,0,0
5,MACBOOK,rétroéclairé,Chine,2.3,Non,Oui,8,4.0,WIFI 4 (N),1.3,275,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Air 13"" i5 1,8 Ghz 256 Go SSD Reconditionné",Mac,13.3,Full HD,Non,NULL,NULL,False,32.5,1.7,22.7,1440,900,0,0,0
5.1,ASUS,rétroéclairé,Chine,2.6,Non,Non,16,8.0,WIFI 6 (AX),2.6,959,INTEL CORE I7,PC Gamer ASUS F17-TUF766LI-H7015T Reconditionné,Windows,17.3,Full HD,Non,NULL,NULL,False,39.9,2.52,26.9,1920,1080,0,0,0
4,APPLE,rétroéclairé,France,3.0,Non,Non,8,2.0,WIFI 4 (N),1.6,654,INTEL CORE I7,APPLE Retina 13'' 2014 i7 3 Ghz 8 Go 256 Go Reconditionné,Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,31.4,1.9,21.9,2560,1600,256,0,0
5.2,ASUS,rétroéclairé,Chine,2.3,Non,Oui,16,14.0,WIFI 6 (AX),1.9,2299,INTEL CORE I7,Ordinateur portable ASUS UP6502ZD-M8009W + Stylet,Windows,13.3,OLED,Oui,INTEL_DG2,INTEL,True,1.9,22.9,35.5,2880,1800,1000,0,0
5.1,LG,rétroéclairé,Corée du Sud,3.4,Oui,Oui,16,12.0,WIFI 6 (AX),0.999,1699,INTEL CORE I7,Ordinateur portable LG GRAM 14Z90Q-G.AA79F,Windows,14.0,Full HD,Oui,INTEL_IRIS,INTEL,False,21.4,31.2,1.7,1920,1200,1000,0,0
5.1,ACER,rétroéclairé,Chine,2.3,Non,Non,16,8.0,WIFI 6 (AX),2.2,1489,INTEL CORE I7,PC Gamer ACER Predator Helios 300 PH315-54-726F Reconditionné,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,36.34,25.5,2.29,1920,1080,512,0,0
5.2,HUAWEI,standard,Chine,3.5,Oui,Non,16,14.0,WIFI 6 (AX),2.0,1599,INTEL CORE I7,Ordinateur portable HUAWEI MateBook 16s 2022 I7 16Go 1To,Windows,16.0,2K,Oui,INTEL_IRIS,INTEL,False,25.49,35.1,1.78,2520,1680,1000,0,0
5,APPLE,rétroéclairé,France,1.1,Oui,Non,8,2.0,WIFI 5 (N/AC),1.3,940,INTEL CORE I3,"APPLE Air 13'' 2020 i3 1,1 Ghz 8 Go 256 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.4,1.54,21.2,2560,1600,256,0,0
5,MACBOOK,rétroéclairé,Chine,2.0,Non,Oui,8,4.0,WIFI 4 (N),2.0,869,INTEL CORE I5,Ordinateur Apple MACBOOK MacBook Pro Retina 15 i7 2 Ghz 256Go Reconditionné,Mac,15.4,Full HD,Non,NULL,NULL,False,35.89,1.8,24.71,2880,1800,0,0,0
5.1,ACER,rétroéclairé,Chine,3.2,Non,Non,16,8.0,WIFI 6 (AX),2.7,2399,AMD RYZEN 7,PC Gamer ACER Nitro 5 AN517-41-R5U1,Windows,17.3,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,40.3,28.0,2.49,1920,1080,1000,0,0
4.1,DELL,standard,Chine,4.0,Non,Non,16,45.0,WIFI 5 (N/AC),2.8,694,INTEL CORE I7,DELL Precision 7510 - 16Go - SSD 512Go Reconditionné,Windows,15.6,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1920,1080,512,0,0
5,APPLE,standard,Chine,2.3,Non,Non,8,2.0,WIFI 4 (N),1.8,554,INTEL CORE I7,"Ordinateur APPLE APPLE MacBook Pro 13"" i7 2,8 GHz 256 Go Reconditionné",Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,2.39,22.4,1280,800,0,0,0
5.1,LENOVO,rétroéclairé,Chine,3.0,Non,Non,8,6.0,WIFI 6 (AX),2.4,1149,AMD RYZEN 5,PC Gamer LENOVO Ordinateur portable 15.6'' FHD R5 8Go 51,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,36.25,26.06,2.57,1920,1080,512,0,0
4.1,ASUS,standard,Chine,1.1,Non,Oui,4,4.0,WIFI 5 (N/AC),1.3,399,INTEL PENTIUM,ASUS Ordinateur portable 14''FHD Pentium 4Go Reconditionné,Windows,14.0,Full HD,Oui,INTEL_UHD,INTEL,False,32.5,21.7,1.8,1920,1080,128,0,0
5,HP,rétroéclairé,Chine,4.6,Non,Non,16,8.0,WIFI 6 (AX),2.5,1399,INTEL CORE I7,PC Gamer HP 16-d0179nf,Windows,16.1,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,37.0,2.35,26.0,1920,1080,512,0,0
4,APPLE,rétroéclairé,France,2.8,Non,Non,16,4.0,WIFI 4 (N),2.0,769,INTEL CORE I7,"APPLE Retina 15'' 2013 i7 2,8 Ghz 16 Go 512 Go Reconditionné",Mac,15.4,Retina,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.89,1.8,24.71,2880,1800,512,0,0
5,MACBOOK,rétroéclairé,Chine,2.3,Non,Non,8,4.0,WIFI 4 (N),1.1,240,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Air 11"" i5 1,7 Ghz 128 Go SSD Reconditionné",Mac,11.6,Full HD,Non,NULL,NULL,False,30.0,1.7,19.2,1366,768,0,0,0
Non,HP,standard,Taïwan,2.3,Non,Oui,4,2.0,WIFI 4 (N),1.8,319,INTEL CORE I3,Ordinateur portable reconditionné HP ProBook 11 G2 - 4Go - SSD 128Go - Tactil Reconditionné,Windows,11.6,HD,Oui,ORIGINE,ORIGINE,False,22.8,2.39,30.9,1366,768,128,0,0
5,MACBOOK,nc,Irlande,3.2,Non,Oui,32,10.0,WIFI 6 (AX),2.1,3669,PUCE APPLE M1 MAX,Ordinateur Apple MACBOOK CTO Pro 16 M1 MAX Pro 1To Gris Sideral,Mac,16.0,Retina,Oui,ORIGINE,ORIGINE,False,35.57,1.68,24.81,3456,2234,1000,0,0
5.1,MSI,rétroéclairé,Chine,2.7,Non,Oui,16,6.0,WIFI 6 (AX),2.2,2009,INTEL CORE I5,PC Gamer MSI Katana GF66 11UD-836XFR,FreeDOS,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.9,2.49,25.9,1920,1080,1000,0,0
5,APPLE,standard,Chine,1.066,Non,Non,8,2.0,WIFI 6 (AX),1.8,669,INTEL CORE I7,"Ordinateur APPLE APPLE Pro 15"" 2011 i7 2.2Ghz 8GB 500GB Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,0,500,0
5.2,HP,rétroéclairé,Chine,3.3,Oui,Non,8,10.0,WIFI 6 (AX),1.4,849,INTEL CORE I5,Ordinateur portable HP 14-dv2111nf,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,32.5,1.7,21.66,1920,1080,256,0,0
4,APPLE,rétroéclairé,France,2.9,Non,Non,8,2.0,WIFI 4 (N),1.6,879,INTEL CORE I5,"APPLE Retina 13'' 2015 i5 2,9 Ghz 8 Go 1 To Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,31.4,1.9,21.9,2560,1600,1000,0,0
5,LENOVO,rétroéclairé,Chine,3.3,Non,Non,16,6.0,WIFI 6 (AX),2.4,1327,AMD RYZEN 5,PC Gamer LENOVO Legion5 15ACH6H,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,36.3,26.1,2.6,1920,1080,512,0,0
4,DELL,standard,Taïwan,1.7,Non,Oui,16,4.0,WIFI 5 (N/AC),5.0,519,INTEL CORE I5,Ordinateur portable reconditionné DELL Latitude 7490 - 16Go - SSD 256Go - Tacti Reconditionné,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,22.5,2.39,33.0,1920,1080,256,0,0
5,MACBOOK,nc,Irlande,3.1,Non,Oui,32,10.0,WIFI 6 (AX),2.1,3199,PUCE APPLE M1,Ordinateur Apple MACBOOK CTO Pro 16 M1 32Go 1To Gris Sideral,Mac,16.0,Retina,Oui,ORIGINE,ORIGINE,False,35.57,1.68,24.81,3456,2234,1000,0,0
5.1,ACER,standard,Chine,2.7,Non,Non,8,6.0,WIFI 6 (AX),2.3,999,INTEL CORE I5,PC Gamer ACER Ordinateur portable 15.6'' FHD 144Hz I5,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,36.4,2.4,25.5,1920,1080,512,0,0
5,APPLE,rétroéclairé,France,1.4,Oui,Non,16,4.0,WIFI 5 (N/AC),1.4,1299,INTEL CORE I5,"APPLE TouchBar 13'' 2019 i5 1,4Ghz 16Go 512 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.49,21.24,2560,1600,512,0,0
4,APPLE,rétroéclairé,France,2.0,Non,Non,16,4.0,WIFI 4 (N),2.0,919,INTEL CORE I7,APPLE Retina 15'' 2013 i7 2 Ghz 16 Go 512 Go Reconditionné,Mac,15.4,Retina,Oui,ORIGINE,ORIGINE,False,35.89,1.8,24.71,2880,1800,512,0,0
5,MACBOOK,rétroéclairé,Chine,3.1,Non,Oui,8,2.0,WIFI 5 (N/AC),1.6,864,INTEL CORE I7,"Ordinateur Apple MACBOOK MacBook Pro Retina 13 i7 3,1 Ghz 256Go Reconditionné",No OS,13.3,Retina,Oui,NULL,NULL,False,31.4,1.9,21.9,2560,1600,256,0,0
4.2,APPLE,rétroéclairé,France,3.3,Non,Non,8,2.0,WIFI 4 (N),1.4,919,INTEL CORE I5,"APPLE TouchBar 13'' 2017 i5 3,3Ghz 8 Go 512 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.49,21.24,2560,1600,512,0,0
5,MICROSOFT,rétroéclairé,Chine,2.0,Non,Non,16,8.0,WIFI 6 (AX),1.5,1569,AMD RYZEN 7,Ordinateur portable MICROSOFT Surface Laptop 4 15 R7 16 512,Windows,13.3,QHD,Oui,AMD_RADEON,AMD,True,24.4,33.9,1.45,2496,1664,512,0,0
5.2,HP,rétroéclairé,Chine,4.4,Non,Non,16,8.0,WIFI 6E,2.3,1499,AMD RYZEN 7,PC Gamer HP 16-c0109nf,Windows,16.1,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,36.92,2.3,24.8,1920,1080,512,0,0
5,MACBOOK,rétroéclairé,Chine,2.9,Non,Oui,8,2.0,WIFI 4 (N),1.6,704,INTEL CORE I7,"Ordinateur Apple MACBOOK MacBook Pro Retina 13 i7 2,9 Ghz 256Go Reconditionné",No OS,13.3,Retina,Oui,NULL,NULL,False,31.4,1.9,21.9,2560,1600,256,0,0
4,LENOVO,standard,Taïwan,2.3,Oui,Oui,8,2.0,WIFI 5 (N/AC),5.0,239,INTEL CORE I5,Ordinateur portable reconditionné LENOVO ThinkPad X1 Carbon (4th Gen) - 8Go - SSD Reconditionné,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,22.8,2.39,33.5,1920,1080,0,0,0
5,MACBOOK,rétroéclairé,Chine,1.3,Non,Non,8,4.0,WIFI 4 (N),1.1,230,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Air 11"" i5 1,3 Ghz 128 Go SSD Reconditionné",Mac,11.6,Full HD,Non,NULL,NULL,False,30.0,1.7,19.2,1366,768,0,0,0
5.1,HUAWEI,standard,Chine,3.3,Oui,Non,16,4.0,WIFI 6 (AX),1.4,1829,INTEL CORE I7,Ordinateur portable HUAWEI Matebook 14s 2021 I7 Touch 16Go 1To EVO,Windows,14.0,2K,Non,INTEL_IRIS,INTEL,False,31.38,22.97,1.67,2520,1680,1000,0,0
5,MICROSOFT,détachable,Chine,1.3,Non,Oui,8,2.0,WIFI 6 (AX),0.54,699,INTEL CORE I3,PC Hybride MICROSOFT Surface Go 3 10' I3/8/128 Platine,Windows,13.3,Full HD,Oui,INTEL_DG1,INTEL,True,17.5,24.5,0.83,1920,1280,128,0,0
5,MACBOOK,rétroéclairé,Chine,3.49,Oui,Non,24,8.0,WIFI 6 (AX),1.2,2539,PUCE APPLE M2,Ordinateur Apple MACBOOK CTO AIR M2 24Go 1To Minuit,Mac,13.6,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.13,21.5,2560,1664,1000,0,0
4.2,ACER,standard,Taïwan,1.1,Non,Oui,8,2.0,WIFI 5 (N/AC),5.0,339,INTEL CELERON,Ordinateur portable reconditionné ACER Chromebook CB514-1HT - 8Go - eMMC 64Go Reconditionné,Chrome,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,23.2,2.39,32.3,1920,1080,0,0,0
5.2,MSI,rétroéclairé,Chine,2.5,Oui,Oui,64,14.0,WIFI 6E,2.4,6629,INTEL CORE I9,PC Gamer MSI CreatorPro Z16P B12UMST-070FR,Windows,13.3,QHD,Oui,NVIDIA_RTX,NVIDIA,True,35.9,1.9,25.6,2560,1600,2000,0,0
5.2,MSI,rétroéclairé,Chine,4.8,Non,Oui,32,16.0,WIFI 6E,2.4,4179,INTEL CORE I7,"PC Gamer MSI RAIDER GE67HX 12UHS-042FR - 15.6""",Windows,15.6,QHD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.8,2.34,26.7,2560,1440,1000,0,0
5,HP,rétroéclairé,Chine,2.8,Oui,Oui,32,4.0,WIFI 6 (AX),1.9,1799,INTEL CORE I7,PC Hybride HP Spectre X360 14-ea0152nf EVO OLED,Windows,13.5,2K,Oui,NULL,NULL,False,29.83,1.69,22.01,3000,2000,1000,0,0
5.1,MSI,rétroéclairé,Chine,3.3,Non,Oui,16,6.0,WIFI 6 (AX),2.3,969,AMD RYZEN 5,PC Gamer MSI BRAVO 15 B5DD-094XFR,FreeDOS,15.6,Full HD,Oui,AMD_RADEON,AMD,False,35.9,2.4,25.9,1920,1080,512,0,0
5,MICROSOFT,standard,Chine,4.2,Oui,Non,8,4.0,WIFI 6 (AX),1.1,869,INTEL CORE I5,Ordinateur portable MICROSOFT Surface Laptop GO 2 i5/8/256 Platine,Windows,13.3,HD,Oui,INTEL_IRIS,INTEL,True,20.6,27.8,1.6,1536,1024,256,0,0
5.1,ACER,rétroéclairé,Chine,3.3,Non,Non,16,4.0,WIFI 6 (AX),1.7,1309,INTEL CORE I7,PC Gamer ACER Predator Triton 300 SE PT314-51s-75 Reconditionné,Windows,14.0,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,32.3,22.8,1.79,1920,1080,512,0,0
5,MICROSOFT,détachable,Chine,4.8,Non,Non,16,4.0,WIFI 6 (AX),0.89,2205,INTEL CORE I7,PC Hybride MICROSOFT Surface Pro 8 i7 16 256 Platine,Windows,13.0,Full HD,Oui,INTEL_IRIS,INTEL,False,28.7,20.8,0.93,2880,1920,256,0,0
4.1,LENOVO,standard,Taïwan,2.0,Oui,Oui,8,2.0,WIFI 5 (N/AC),5.0,289,INTEL CORE I3,Ordinateur portable reconditionné LENOVO ThinkPad L450 - 8Go - SSD 256Go Reconditionné,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,23.5,2.39,34.0,1920,1080,256,0,0
4,APPLE,rétroéclairé,France,2.2,Non,Non,16,4.0,WIFI 4 (N),2.0,819,INTEL CORE I7,"APPLE Retina 15'' 2015 i7 2,2 Ghz 16 Go 1 To Reconditionné",Mac,15.4,Retina,Oui,ORIGINE,ORIGINE,False,35.89,1.8,24.71,2880,1800,1000,0,0
5,MACBOOK,nc,Chine,2.3,Non,Oui,8,4.0,WIFI 4 (N),1.8,259,INTEL CORE I5,Portable MACBOOK Pro 13.3 2.4ghz 4go 500go Reconditionné,Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,2.39,22.4,1280,800,0,0,0
5,APPLE,rétroéclairé,France,2.7,Oui,Non,16,4.0,WIFI 5 (N/AC),1.4,1129,INTEL CORE I7,"APPLE TouchBar 13'' 2018 i7 2,7Ghz 16Go 256 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.49,21.24,2560,1600,256,0,0
5,MACBOOK,nc,Irlande,3.1,Non,Oui,32,10.0,WIFI 6 (AX),2.1,3899,PUCE APPLE M1,Ordinateur Apple MACBOOK CTO Pro 16 M1 32Go 2To Gris Sideral,Mac,16.0,Retina,Oui,ORIGINE,ORIGINE,False,35.57,1.68,24.81,3456,2234,2000,0,0
5,HP,nc,Chine,0.0,Non,Oui,8,2.0,WIFI 6 (AX),1.5,499,INTEL CORE I3,Chromebook HP Pack 14b-nb0044nf + housse + Nest audio,Chrome,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,32.36,1.65,22.1,1920,1080,128,0,0
5.1,SAMSUNG,rétroéclairé,Viêt Nam,2.1,Oui,Oui,16,12.0,WIFI 6 (AX),1.1,1099,INTEL CORE I7,Ordinateur portable SAMSUNG GALAXY BOOK2 PRO 15'' i7/16Go/512 EVO,Windows,15.6,Full HD,Oui,INTEL_IRIS,INTEL,False,22.58,11.7,35.54,1920,1080,512,0,0
5,PACKARD BELL,standard,Chine,1.1,Non,Non,4,4.0,WIFI 5 (N/AC),1.4,329,INTEL CELERON,Ordinateur portable PACKARD BELL B114-33-C3N8 + Office 365 personnel,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,23.6,32.8,2.0,1920,1080,0,0,128
5,HP,standard,Chine,1.1,Non,Oui,4,2.0,WIFI 5 (N/AC),1.4,429,INTEL CELERON,Chromebook HP X360 12b-CA0011nf Tactile 12,Chrome,13.3,HD,Oui,ORIGINE,ORIGINE,True,27.2,1.73,21.6,1366,768,0,0,64
5.2,SAMSUNG,rétroéclairé,Viêt Nam,1.7,Oui,Oui,16,10.0,WIFI 6 (AX),1.2,1399,INTEL CORE I7,PC Hybride SAMSUNG GALAXY BOOK2 360 13'' i7/16Go/512 EVO,Windows,13.3,Full HD,Oui,INTEL_IRIS,INTEL,False,20.2,12.9,30.44,1920,1080,512,0,0
5.1,LENOVO,standard,Chine,2.0,Non,Oui,8,2.0,WIFI 6 (AX),2.1,599,INTEL PENTIUM,Ordinateur portable LENOVO Ideapad 3 17ITL6-313,Windows,17.3,HD+,Oui,ORIGINE,ORIGINE,False,27.4,39.9,2.0,1600,900,256,0,0
5.1,LENOVO,rétroéclairé,Chine,3.2,Non,Oui,16,8.0,WIFI 6 (AX),2.1,1299,AMD RYZEN 7,Ordinateur portable LENOVO Yoga Slim 7 Pro16,Windows,16.0,WQXGA,Oui,AMD_RADEON,AMD,False,24.8,35.7,2.0,2560,1600,0,1000,0
5.2,ACER,rétroéclairé,Chine,1.3,Non,Non,8,10.0,WIFI 6E,1.5,799,INTEL CORE I5,Ordinateur portable ACER Aspire AV14-51-548X,Windows,14.0,Full HD,Oui,ORIGINE,ORIGINE,False,22.4,32.9,1.8,1920,1080,256,0,0
5.1,ACER,rétroéclairé,Chine,3.1,Non,Non,8,4.0,WIFI 6 (AX),1.7,1599,INTEL CORE I5,PC Gamer ACER Predator PT314-51s-52G8,Windows,14.0,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,32.3,22.8,1.79,1920,1080,512,0,0
5,MACBOOK,rétroéclairé,Irlande,2.8,Oui,Oui,16,8.0,WIFI 6 (AX),1.3,1429,PUCE APPLE M1,Ordinateur Apple MACBOOK CTO Air New M1 16 256Go Or,Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.61,21.24,2560,1600,256,0,0
5,MACBOOK,standard,Chine,1.6,Non,Non,4,4.0,WIFI 5 (N/AC),2.0,369,INTEL CORE I5,"Ordinateur Apple MACBOOK Air 13"" 2015 i5 1.6Ghz 4GB 128GB SSD Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.0,5.0,20.0,1440,900,128,0,0
5,MACBOOK,standard,Chine,2.4,Non,Non,8,4.0,WIFI 5 (N/AC),2.0,279,INTEL CORE I5,"Ordinateur Apple MACBOOK Pro 13"" 2011 i5 2.4Ghz 8GB 500GB Reconditionné",Mac,13.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.0,5.0,20.0,1280,800,0,500,0
5,MACBOOK,rétroéclairé,Chine,1.6,Non,Oui,8,2.0,WIFI 5 (N/AC),1.3,585,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Air 13"" i5 1,6 Ghz 256 Go SSD Reconditionné",No OS,13.3,HD,Oui,NULL,NULL,False,32.5,1.7,22.7,1440,900,256,0,0
5,LENOVO,rétroéclairé,Chine,3.3,Non,Non,16,6.0,WIFI 6 (AX),2.2,1203,AMD RYZEN 5,PC Gamer LENOVO IdeaPad Gaming 3 15ACH6,Windows,15.6,Full HD,Oui,NVIDIA_GEFORCE,NVIDIA,False,35.96,25.2,24.2,1920,1080,512,0,0
4,APPLE,rétroéclairé,France,2.6,Non,Non,8,2.0,WIFI 4 (N),1.6,429,INTEL CORE I5,"APPLE Retina 13'' 2013 i5 2,6 Ghz 8 Go 512 Go Reconditionné",Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,31.4,1.9,21.9,1280,800,512,0,0
4.2,MACBOOK,rétroéclairé,Chine,2.3,Oui,Non,8,4.0,WIFI 5 (N/AC),1.4,1186,INTEL CORE I5,Ordinateur Apple MACBOOK Pro 13 Touch Bar I5 512 Gris Sideral Reconditionné,Mac,13.3,Full HD,Non,NULL,NULL,False,30.41,1.49,21.24,2560,1600,0,0,0
5,MACBOOK,rétroéclairé,Chine,2.3,Non,Oui,8,4.0,WIFI 4 (N),1.3,250,INTEL CORE I5,"Ordinateur Apple MACBOOK MacBook Air 13"" i5 1,8 Ghz 128 Go SSD Reconditionné",Mac,13.3,Full HD,Non,NULL,NULL,False,32.5,1.7,22.7,1440,900,0,0,0
5.2,MSI,rétroéclairé,Chine,1.3,Non,Oui,16,10.0,WIFI 6 (AX),1.9,819,INTEL CORE I5,"PC Gamer MSI MODERN 14 C12M-003XFR - 14""",FreeDOS,14.0,Full HD,Oui,INTEL_IRIS,INTEL,False,31.9,1.9,25.4,1920,1080,512,0,0
5.1,LENOVO,standard,Chine,1.1,Non,Oui,8,2.0,WIFI 6 (AX),1.6,429,INTEL CELERON,Chromebook LENOVO IdeaPad 3 Chrome 15IJL6,Chrome,15.6,Full HD,Oui,ORIGINE,ORIGINE,False,24.3,36.2,1.9,1920,1080,128,0,0
5,APPLE,standard,Chine,1.333,Non,Non,8,2.0,WIFI 6 (AX),1.8,479,INTEL CORE I7,"Ordinateur APPLE APPLE Pro (15"" 2013) i7 2.0Ghz 8GB 256GB SSD Reconditionné",Mac,15.0,Full HD,Oui,ORIGINE,ORIGINE,False,30.41,2.39,22.4,1680,1050,256,0,0
5.1,LENOVO,standard,Chine,2.1,Non,Oui,8,4.0,WIFI 6 (AX),1.6,499,AMD RYZEN 5,Ordinateur portable LENOVO Ideapad 3 15ADA6,Windows,15.6,Full HD,Oui,AMD_RADEON,AMD,False,23.7,35.9,2.0,1920,1080,512,0,0
5,MACBOOK,rétroéclairé,Chine,3.1,Oui,Non,8,8.0,WIFI 6 (AX),1.3,1659,PUCE APPLE M1,Ordinateur Apple MACBOOK CTO Air New M1 8Go 1To SSD Or,Mac,13.3,Retina,Oui,ORIGINE,ORIGINE,False,30.41,1.61,21.24,2560,1600,1000,0,0
4.1,ASUS,rétroéclairé,Chine,2.4,Non,Oui,16,4.0,WIFI 6 (AX),1.8,899,INTEL CORE I5,Ordinateur portable ASUS Vivobook S15 OLED S533EA-L12982W,Windows,15.6,OLED,Oui,ORIGINE,ORIGINE,False,1.6,23.3,35.9,1920,1080,512,0,0
